time,dive_name,CAO01,PH21,PH75,PD03,CAO02,PD08,PH10,CAO46,PH07,PH53,CAO21,P13,PH24,PH39,PH27,CAH30,CAO07,CAH04,PH13,CAO04,CAO10,PH32,CAO11,PD10,CAO13,PH33,P14,CAO14,CAO16,PH15,CAO17,PH82,PH48,PH51,PH34,PH35,PH36,PH40,PH41,PH43,CAO47,CAO19,CAO20,CAO05,PH45,PH47,PH71,PH49,CAO22,PD11,CAO45,PH69,PD22,CAH23,PH70,PD12,PH78,CAO23,CAO25,PH52,CAO48,CAH08,PH55,PD14,PH58,CAO27,CAH09,CAO28,P10,CAO49,PH59,CAH18,CAO29,CAO31,CAO30,CA01,CAO39,CAO41,PD17,CAH37,CAO33,CAH22,P07,CAO34,PH61,CAH15,P08,CAO35,CAO36,CAO37,CAO38,PH63,CAO42,CAO43,CAH20,CAH27,CAH33,PH74,CAO53,PH73,CAH34,CAO60,CAH21,CAO54,PH77,CAO56,CAO55,CAO61,PH64,CAH35,CAH36,PH66,lat,lon,oxygen,depth,temp
2021/07/06 15:24:23,EX2104_Dive03 Hopscotch Seamount,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.676223,-52.994318,8.09747,2605.4169,3.2124
2021/07/06 15:30:20,EX2104_Dive03 Hopscotch Seamount,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.676182,-52.994358,8.11828,2601.7163,3.21045
2021/07/06 15:32:55,EX2104_Dive03 Hopscotch Seamount,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.67628,-52.994322,8.07487,2598.6403,3.20745
2021/07/06 15:36:36,EX2104_Dive03 Hopscotch Seamount,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.676198,-52.994375,8.13252,2595.5246,3.19843
2021/07/06 15:37:37,EX2104_Dive03 Hopscotch Seamount,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.676129,-52.994442,8.0964,2592.6592,3.19575
2021/07/06 15:38:22,EX2104_Dive03 Hopscotch Seamount,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.676159,-52.994285,8.12851,2591.6708,3.19542
2021/07/06 15:40:58,EX2104_Dive03 Hopscotch Seamount,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.676152,-52.994327,8.11859,2591.7287,3.19542
2021/07/06 15:46:40,EX2104_Dive03 Hopscotch Seamount,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.676055,-52.994186,8.12026,2591.1835,3.19653
2021/07/06 15:48:28,EX2104_Dive03 Hopscotch Seamount,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.676205,-52.994297,8.06957,2585.8166,3.20099
2021/07/06 15:48:28,EX2104_Dive03 Hopscotch Seamount,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.676205,-52.994297,8.06957,2585.8166,3.20099
